# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
200000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 7.64753e-06 2e-06
38 2.25 0.00114767 0.000319
39 2.31 0.0274747 0.008317
40 2.37 0.27534 0.092691
41 2.43 1.393 0.541426
42 2.49 4.05306 1.91233
43 2.55 7.59771 4.60729
44 2.61 10.0854 8.35462
45 2.67 10.3338 12.3725
46 2.73 8.77466 15.939
47 2.79 6.55579 18.7222
48 2.85 4.49938 20.7154
49 2.91 2.91184 22.0604
50 2.97 1.79743 22.9252
51 3.03 1.07545 23.4639
52 3.09 0.655038 23.8051
53 3.15 0.452064 24.0499
54 3.21 0.396114 24.2727
55 3.27 0.436569 24.5274
56 3.33 0.534318 24.8506
57 3.39 0.644798 25.2548
58 3.45 0.733421 25.7309
59 3.51 0.783304 26.2572
60 3.57 0.788397 26.8051
61 3.63 0.775053 27.362
62 3.69 0.790847 27.9491
63 3.75 0.873445 28.6189
64 3.81 1.03014 29.4343
65 3.87 1.21307 30.4251
66 3.93 1.34887 31.5613
67 3.99 1.36835 32.7494
68 4.05 1.26699 33.8831
69 4.11 1.1195 34.9148
70 4.17 1.03339 35.8953
71 4.23 1.10561 36.9748
72 4.29 1.3804 38.3609
73 4.35 1.80963 40.2288
74 4.41 2.30746 42.6764
75 4.47 2.78249 45.7085
76 4.53 3.19549 49.2845
77 4.59 3.56548 53.3809
78 4.65 3.87158 57.9462
79 4.71 4.02727 62.8187
80 4.77 3.92113 67.6847
81 4.83 3.52034 72.1642
82 4.89 2.93049 75.9864
83 4.95 2.35993 79.1406
84 5.01 1.99168 81.8676
85 5.07 1.90861 84.5441
86 5.13 2.05001 87.4873
87 5.19 2.25431 90.7998
88 5.25 2.36968 94.3624
89 5.31 2.32149 97.9325
90 5.37 2.15685 101.325
91 5.43 1.97159 104.495
92 5.49 1.83638 107.514
93 5.55 1.74052 110.437
94 5.61 1.64006 113.252
95 5.67 1.48207 115.851
96 5.73 1.26199 118.11
97 5.79 1.02081 119.976
98 5.85 0.824084 121.514
99 5.91 0.739403 122.922
100 5.97 0.801661 124.48
300000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 3.83048e-06 1e-06
38 2.25 0.000965036 0.000267
39 2.31 0.0237511 0.007168
40 2.37 0.250053 0.083645
41 2.43 1.3047 0.503132
42 2.49 3.88636 1.81513
43 2.55 7.45182 4.45345
44 2.61 10.1111 8.2037
45 2.67 10.5265 12.2895
46 2.73 9.03037 15.954
47 2.79 6.75398 18.8164
48 2.85 4.58236 20.8429
49 2.91 2.89647 22.1784
50 2.97 1.73241 23.0104
51 3.03 0.990731 23.5056
52 3.09 0.566733 23.8003
53 3.15 0.364824 23.9974
54 3.21 0.310484 24.1716
55 3.27 0.351376 24.3761
56 3.33 0.450212 24.648
