# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
223200 0.00013125 0.000131239 -0.00649402 0.00010308
223300 0.00038125 0.000381175 -0.0221584 0.000549718
223400 0.00063125 0.000631048 -0.0447301 0.00209749
223500 0.00088125 0.000880859 -0.0525073 0.00280495
223600 0.00113125 0.00113061 -0.0815969 0.00691752
223700 0.00138125 0.00138029 -0.092239 0.00863516
223800 0.00163125 0.00162992 -0.0998936 0.0102169
223900 0.00188125 0.00187948 -0.129894 0.0169735
224000 0.00213125 0.00212898 -0.13459 0.0182255
224100 0.00238125 0.00237842 -0.168296 0.0283409
224200 0.00263125 0.00262779 -0.168133 0.0283236
224300 0.00288125 0.0028771 -0.212974 0.0455818
224400 0.00313125 0.00312636 -0.219312 0.0481551
224500 0.00338125 0.00337554 -0.242975 0.0591675
224600 0.00363125 0.00362467 -0.250159 0.0626122
224700 0.00388125 0.00387373 -0.280176 0.0786914
224800 0.00413125 0.00412274 -0.295085 0.0871351
224900 0.00438125 0.00437168 -0.295376 0.0873912
225000 0.00463125 0.00462056 -0.319476 0.10212
225100 0.00488125 0.00486937 -0.317633 0.101011
225200 0.00513125 0.00511813 -0.366705 0.134594
225300 0.00538125 0.00536682 -0.360652 0.130276
225400 0.00563125 0.00561545 -0.422029 0.178304
225500 0.00588125 0.00586402 -0.395091 0.156277
225600 0.00613125 0.00611253 -0.427447 0.183104
225700 0.00638125 0.00636097 -0.450403 0.202906
225800 0.00663125 0.00660936 -0.451567 0.204303
225900 0.00688125 0.00685768 -0.479252 0.22982
226000 0.00713125 0.00710594 -0.491013 0.241248
226100 0.00738125 0.00735414 -0.523311 0.273887
226200 0.00763125 0.00760228 -0.512204 0.262449
226300 0.00788125 0.00785035 -0.555182 0.308279
226400 0.00813125 0.00809837 -0.55369 0.306633
226500 0.00838125 0.00834632 -0.594923 0.35411
226600 0.00863125 0.00859421 -0.593791 0.352646
226700 0.00888125 0.00884204 -0.624375 0.389927
226800 0.00913125 0.00908981 -0.611974 0.374754
226900 0.00938125 0.00933752 -0.651683 0.425094
227000 0.00963125 0.00958516 -0.655686 0.430452
227100 0.00988125 0.00983275 -0.658021 0.43355
227200 0.0101313 0.0100803 -0.688319 0.474086
227300 0.0103812 0.0103277 -0.680132 0.462989
227400 0.0106312 0.0105751 -0.737373 0.543802
227500 0.0108812 0.0108225 -0.720546 0.519384
227600 0.0111313 0.0110698 -0.766508 0.587684
227700 0.0113813 0.011317 -0.756745 0.572741
227800 0.0116312 0.0115641 -0.792205 0.627919
227900 0.0118813 0.0118112 -0.777898 0.605342
228000 0.0121312 0.0120583 -0.811607 0.659001
228100 0.0123812 0.0123052 -0.838 0.702295
228200 0.0126313 0.0125521 -0.845301 0.714795
228300 0.0128813 0.012799 -0.866003 0.750015
228400 0.0131313 0.0130458 -0.843567 0.711809
228500 0.0133812 0.0132925 -0.898048 0.806603
228600 0.0136312 0.0135392 -0.893556 0.798525
228700 0.0138813 0.0137858 -0.922758 0.851966
228800 0.0141313 0.0140323 -0.939391 0.882548
228900 0.0143813 0.0142788 -0.93835 0.880709
229000 0.0146312 0.0145252 -0.961475 0.924542
229100 0.0148812 0.0147716 -0.952776 0.908144
229200 0.0151313 0.0150179 -1.00446 1.00911
229300 0.0153813 0.0152642 -0.968124 0.937316
229400 0.0156312 0.0155103 -1.0096 1.01947
229500 0.0158813 0.0157565 -1.02371 1.04801
229600 0.0161313 0.0160025 -1.05838 1.12032
229700 0.0163812 0.0162485 -1.06364 1.13138
229800 0.0166312 0.0164945 -1.05614 1.11554
229900 0.0168813 0.0167403 -1.07109 1.14728
230000 0.0171312 0.0169862 -1.06548 1.13558
230100 0.0173812 0.0172319 -1.10999 1.23215
230200 0.0176312 0.0174776 -1.07605 1.15795
230300 0.0178813 0.0177233 -1.13043 1.27827
230400 0.0181313 0.0179688 -1.11917 1.25286
230500 0.0183813 0.0182144 -1.13895 1.29758
230600 0.0186312 0.0184598 -1.14673 1.31542
230700 0.0188812 0.0187052 -1.12327 1.26196
230800 0.0191312 0.0189505 -1.17479 1.38019
