# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
178300 0.00014375 0.000143737 -0.00448026 0.000122712
178400 0.00039375 0.00039367 -0.00150207 0.000204489
178500 0.00064375 0.00064354 -0.0392604 0.00163172
178600 0.00089375 0.000893348 -0.0167687 0.000341214
178700 0.00114375 0.00114309 -0.0753615 0.0061352
178800 0.00139375 0.00139278 -0.090801 0.00835673
178900 0.00164375 0.0016424 -0.0945073 0.00927409
179000 0.00189375 0.00189196 -0.118357 0.0141029
179100 0.00214375 0.00214145 -0.121529 0.0150703
179200 0.00239375 0.00239089 -0.195636 0.0384388
179300 0.00264375 0.00264026 -0.179562 0.0323266
179400 0.00289375 0.00288957 -0.219474 0.048278
179500 0.00314375 0.00313882 -0.19943 0.0398719
179600 0.00339375 0.003388 -0.24969 0.0629613
179700 0.00364375 0.00363713 -0.255224 0.0651676
179800 0.00389375 0.00388619 -0.294876 0.0873482
179900 0.00414375 0.00413519 -0.294356 0.0869825
180000 0.00439375 0.00438412 -0.301043 0.0913108
180100 0.00464375 0.004633 -0.343904 0.118464
180200 0.00489375 0.00488181 -0.352492 0.124785
180300 0.00514375 0.00513056 -0.39735 0.158019
180400 0.00539375 0.00537925 -0.358114 0.128357
180500 0.00564375 0.00562788 -0.400553 0.160531
180600 0.00589375 0.00587645 -0.400751 0.160854
180700 0.00614375 0.00612495 -0.468933 0.219982
180800 0.00639375 0.00637339 -0.443628 0.196951
180900 0.00664375 0.00662177 -0.497586 0.24829
181000 0.00689375 0.00687009 -0.493427 0.243743
181100 0.00714375 0.00711835 -0.527308 0.278374
181200 0.00739375 0.00736655 -0.514515 0.2651
181300 0.00764375 0.00761468 -0.559757 0.314557
181400 0.00789375 0.00786275 -0.584263 0.342018
181500 0.00814375 0.00811077 -0.567154 0.322047
181600 0.00839375 0.00835872 -0.605394 0.366698
181700 0.00864375 0.0086066 -0.598882 0.359009
181800 0.00889375 0.00885443 -0.64653 0.418087
181900 0.00914375 0.0091022 -0.640345 0.410233
182000 0.00939375 0.0093499 -0.688914 0.474657
182100 0.00964375 0.00959754 -0.674921 0.455577
182200 0.00989375 0.00984512 -0.714659 0.511069
182300 0.0101438 0.0100926 -0.717753 0.515247
182400 0.0103938 0.0103401 -0.744949 0.555226
182500 0.0106438 0.0105875 -0.755011 0.570055
182600 0.0108938 0.0108348 -0.766539 0.587927
182700 0.0111438 0.0110821 -0.805872 0.649461
182800 0.0113938 0.0113293 -0.806578 0.650629
182900 0.0116438 0.0115765 -0.820964 0.674037
183000 0.0118938 0.0118236 -0.8093 0.655113
183100 0.0121438 0.0120706 -0.842474 0.709867
183200 0.0123938 0.0123176 -0.829656 0.688425
183300 0.0126438 0.0125645 -0.886606 0.786723
183400 0.0128938 0.0128113 -0.879493 0.773633
183500 0.0131438 0.0130581 -0.921165 0.849018
183600 0.0133938 0.0133048 -0.915789 0.838981
183700 0.0136438 0.0135515 -0.939576 0.883527
183800 0.0138938 0.0137981 -0.965239 0.932241
183900 0.0141438 0.0140447 -0.946344 0.896271
184000 0.0143938 0.0142911 -0.998365 0.996937
184100 0.0146438 0.0145376 -0.972714 0.946708
184200 0.0148938 0.0147839 -1.03552 1.07241
184300 0.0151438 0.0150302 -1.00046 1.001
184400 0.0153938 0.0152765 -1.05099 1.10481
184500 0.0156438 0.0155226 -1.04374 1.08944
184600 0.0158938 0.0157688 -1.09161 1.19193
184700 0.0161438 0.0160148 -1.079 1.16446
184800 0.0163938 0.0162608 -1.09943 1.2093
184900 0.0166438 0.0165068 -1.11358 1.24026
185000 0.0168938 0.0167526 -1.11706 1.24799
185100 0.0171438 0.0169985 -1.13799 1.29509
185200 0.0173938 0.0172442 -1.13183 1.28107
185300 0.0176438 0.0174899 -1.164 1.35505
185400 0.0178938 0.0177355 -1.19216 1.42125
185500 0.0181438 0.0179811 -1.18599 1.4066
185600 0.0183938 0.0182266 -1.20976 1.46366
185700 0.0186438 0.0184721 -1.22171 1.49263
185800 0.0188938 0.0187175 -1.22136 1.49178
185900 0.0191438 0.0189628 -1.23938 1.53614
186000 0.0193938 0.0192081 -1.25937 1.58621
186100 0.0196438 0.0194533 -1.26996 1.61286
186200 0.0198938 0.0196985 -1.27004 1.61307
186300 0.0201438 0.0199435 -1.28362 1.64772
186400 0.0203938 0.0201886 -1.27873 1.63527
186500 0.0206438 0.0204336 -1.3154 1.73038
186600 0.0208938 0.0206785 -1.29739 1.68326
186700 0.0211438 0.0209233 -1.31889 1.73979
186800 0.0213938 0.0211681 -1.33328 1.77769
186900 0.0216438 0.0214128 -1.32791 1.7634
187000 0.0218938 0.0216575 -1.35307 1.8309
187100 0.0221438 0.0219021 -1.3696 1.87583
187200 0.0223938 0.0221467 -1.39657 1.95046
187300 0.0226438 0.0223912 -1.40639 1.97798
187400 0.0228938 0.0226356 -1.39925 1.95798
187500 0.0231438 0.02288 -1.41612 2.00542
187600 0.0233938 0.0231243 -1.424 2.02791
187700 0.0236438 0.0233686 -1.46254 2.13909
187800 0.0238938 0.0236128 -1.44449 2.08659
187900 0.0241438 0.0238569 -1.48769 2.2133
188000 0.0243938 0.024101 -1.45813 2.12626
188100 0.0246438 0.024345 -1.50287 2.25889
188200 0.0248938 0.0245889 -1.49477 2.23459
188300 0.0251438 0.0248328 -1.51475 2.29504
188400 0.0253938 0.0250767 -1.51954 2.30914
188500 0.0256438 0.0253205 -1.52326 2.32098
188600 0.0258938 0.0255642 -1.55589 2.42091
188700 0.0261438 0.0258078 -1.54584 2.38991
188800 0.0263938 0.0260514 -1.57683 2.48657
188900 0.0266438 0.026295 -1.55129 2.40662
189000 0.0268938 0.0265385 -1.60823 2.58654
189100 0.0271438 0.0267819 -1.59661 2.54928
189200 0.0273938 0.0270253 -1.62634 2.64511
189300 0.0276438 0.0272686 -1.61589 2.61127
189400 0.0278938 0.0275118 -1.60028 2.56093
189500 0.0281438 0.027755 -1.63248 2.66505
189600 0.0283938 0.0279981 -1.63943 2.68777
189700 0.0286438 0.0282412 -1.64415 2.70325
189800 0.0288938 0.0284842 -1.64744 2.7141
189900 0.0291438 0.0287271 -1.66362 2.76768
190000 0.0293938 0.02897 -1.66623 2.77637
190100 0.0296438 0.0292129 -1.67067 2.79134
190200 0.0298938 0.0294556 -1.70061 2.8921
190300 0.0301438 0.0296984 -1.67548 2.80733
190400 0.0303938 0.029941 -1.68155 2.82764
190500 0.0306438 0.0301836 -1.66923 2.78637
190600 0.0308938 0.0304261 -1.68733 2.84726
190700 0.0311438 0.0306686 -1.69623 2.87725
190800 0.0313938 0.030911 -1.70411 2.90405
190900 0.0316438 0.0311534 -1.71092 2.92726
191000 0.0318938 0.0313957 -1.73054 2.99483
191100 0.0321438 0.0316379 -1.72094 2.96167
191200 0.0323938 0.0318801 -1.73646 3.01536
191300 0.0326438 0.0321223 -1.75336 3.07432
191400 0.0328938 0.0323643 -1.7463 3.04962
191500 0.0331438 0.0326063 -1.74215 3.0351
191600 0.0333938 0.0328483 -1.7462 3.04927
191700 0.0336438 0.0330902 -1.78255 3.17753
191800 0.0338938 0.033332 -1.76585 3.11835
191900 0.0341438 0.0335738 -1.78853 3.19912
192000 0.0343938 0.0338155 -1.8012 3.24448
192100 0.0346438 0.0340572 -1.80707 3.26565
192200 0.0348938 0.0342988 -1.81111 3.28023
192300 0.0351438 0.0345403 -1.81197 3.28364
192400 0.0353938 0.0347818 -1.84728 3.41263
192500 0.0356438 0.0350232 -1.81471 3.29322
192600 0.0358938 0.0352646 -1.8204 3.31386
192700 0.0361438 0.0355059 -1.82006 3.31269
192800 0.0363938 0.0357471 -1.8194 3.31031
192900 0.0366438 0.0359883 -1.82813 3.34211
193000 0.0368938 0.0362295 -1.84402 3.40048
193100 0.0371438 0.0364705 -1.854 3.43752
193200 0.0373938 0.0367116 -1.8659 3.48182
193300 0.0376438 0.0369525 -1.84227 3.3941
193400 0.0378938 0.0371934 -1.87543 3.5174
193500 0.0381438 0.0374343 -1.85232 3.43121
193600 0.0383938 0.037675 -1.86645 3.4837
193700 0.0386438 0.0379158 -1.82097 3.31617
193800 0.0388938 0.0381564 -1.86156 3.46561
193900 0.0391438 0.0383971 -1.83369 3.36277
194000 0.0393938 0.0386376 -1.84003 3.38609
194100 0.0396438 0.0388781 -1.8414 3.39089
194200 0.0398938 0.0391185 -1.87299 3.50867
194300 0.0401438 0.0393589 -1.8672 3.48668
194400 0.0403938 0.0395992 -1.86144 3.46536
194500 0.0406438 0.0398395 -1.88778 3.56388
194600 0.0408938 0.0400797 -1.85748 3.45033
194700 0.0411438 0.0403199 -1.86079 3.46273
194800 0.0413938 0.04056 -1.84077 3.38885
194900 0.0416438 0.0408 -1.89677 3.59781
195000 0.0418938 0.04104 -1.87767 3.52571
195100 0.0421438 0.0412799 -1.91613 3.67168
195200 0.0423938 0.0415197 -1.89037 3.57357
195300 0.0426438 0.0417596 -1.91148 3.65392
195400 0.0428938 0.0419993 -1.90941 3.64598
195500 0.0431438 0.042239 -1.92311 3.69847
195600 0.0433938 0.0424786 -1.90287 3.62117
195700 0.0436438 0.0427182 -1.9214 3.69233
195800 0.0438938 0.0429577 -1.94834 3.79651
195900 0.0441438 0.0431972 -1.90519 3.62984
196000 0.0443938 0.0434366 -1.95541 3.82377
196100 0.0446438 0.0436759 -1.93527 3.74537
196200 0.0448938 0.0439152 -1.98048 3.9224
196300 0.0451438 0.0441544 -1.91741 3.67664
196400 0.0453938 0.0443936 -1.9597 3.84084
196500 0.0456438 0.0446327 -1.89951 3.60894
196600 0.0458938 0.0448718 -1.93546 3.74694
196700 0.0461438 0.0451108 -1.92152 3.69274
196800 0.0463938 0.0453497 -1.926 3.71005
196900 0.0466438 0.0455886 -1.92321 3.69933
197000 0.0468938 0.0458274 -1.90248 3.61985
197100 0.0471438 0.0460662 -1.91247 3.65783
197200 0.0473938 0.0463049 -1.88354 3.54779
197300 0.0476438 0.0465436 -1.8941 3.58773
197400 0.0478938 0.0467822 -1.88805 3.56503
197500 0.0481438 0.0470207 -1.9221 3.69449
197600 0.0483938 0.0472592 -1.8898 3.57154
197700 0.0486438 0.0474977 -1.87093 3.50041
197800 0.0488938 0.047736 -1.87593 3.51924
197900 0.0491438 0.0479744 -1.92861 3.71974
198000 0.0493938 0.0482126 -1.91524 3.66825
198100 0.0496438 0.0484508 -1.93484 3.74396
198200 0.0498938 0.048689 -1.94723 3.79172
198300 0.0501438 0.0489271 -1.93989 3.76321
198400 0.0503938 0.0491651 -1.93128 3.73006
198500 0.0506438 0.0494031 -1.934 3.74044
198600 0.0508938 0.049641 -1.9446 3.78149
198700 0.0511438 0.0498789 -1.93885 3.75917
198800 0.0513938 0.0501167 -1.91815 3.67936
198900 0.0516438 0.0503544 -1.92691 3.71304
199000 0.0518938 0.0505921 -1.93459 3.74271
199100 0.0521438 0.0508297 -1.9315 3.73076
