#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.41e+01      1.06e+00      7.61e-01    1.0e-03
   1000      2.50e+00      3.16e-02      7.89e-02    1.0e-03
   2000      5.46e+00      1.11e-01      1.72e-01    1.0e-03
   3000      5.33e+00      1.29e-01      1.68e-01    1.0e-03
   4000      2.13e+00      1.20e-01      6.74e-02    1.0e-03
   5000      4.19e+00      1.30e-01      1.36e-01    9.5e-04
   6000      4.34e+00      1.64e-02      1.41e-01    9.5e-04
   7000      3.99e+00      8.18e-02      1.29e-01    9.5e-04
   8000      4.35e+00      4.14e-03      1.41e-01    9.5e-04
   9000      4.80e+00      4.43e-02      1.56e-01    9.5e-04
  10000      4.71e+00      1.06e-01      1.56e-01    9.0e-04
  11000      2.60e+00      4.72e-02      8.65e-02    9.0e-04
  12000      4.39e+00      1.74e-03      1.46e-01    9.0e-04
  13000      3.60e+00      1.41e-02      1.20e-01    9.0e-04
  14000      1.77e+00      5.40e-02      5.87e-02    9.0e-04
  15000      3.03e+00      1.72e-02      1.03e-01    8.6e-04
  16000      3.46e+00      1.48e-01      1.11e-01    8.6e-04
  17000      1.13e+00      3.47e-02      3.83e-02    8.6e-04
  18000      1.21e+00      3.61e-02      4.11e-02    8.6e-04
  19000      3.69e+00      3.58e-02      1.26e-01    8.6e-04
  20000      2.45e+00      2.28e-02      8.57e-02    8.1e-04
  21000      3.58e+00      4.09e-02      1.25e-01    8.1e-04
  22000      7.81e-01      1.57e-02      2.73e-02    8.1e-04
  23000      2.62e+00      5.66e-03      9.18e-02    8.1e-04
  24000      3.03e+00      4.40e-02      1.05e-01    8.1e-04
  25000      2.98e+00      6.43e-03      1.07e-01    7.7e-04
  26000      3.08e+00      1.37e-02      1.11e-01    7.7e-04
  27000      3.01e+00      5.58e-03      1.08e-01    7.7e-04
  28000      3.17e+00      1.47e-02      1.14e-01    7.7e-04
  29000      2.84e+00      1.80e-02      1.02e-01    7.7e-04
  30000      2.69e+00      1.36e-02      9.91e-02    7.4e-04
  31000      2.88e+00      1.78e-03      1.06e-01    7.4e-04
  32000      2.77e+00      5.91e-03      1.02e-01    7.4e-04
  33000      6.34e-01      3.85e-03      2.34e-02    7.4e-04
  34000      2.90e+00      9.17e-02      1.01e-01    7.4e-04
  35000      2.58e+00      9.81e-02      9.66e-02    7.0e-04
  36000      2.93e+00      1.37e-02      1.11e-01    7.0e-04
  37000      5.49e-01      4.44e-03      2.08e-02    7.0e-04
  38000      3.10e+00      1.21e-02      1.17e-01    7.0e-04
  39000      2.74e+00      4.21e-03      1.04e-01    7.0e-04
  40000      2.53e+00      2.80e-03      9.82e-02    6.6e-04
  41000      4.26e-01      8.57e-03      1.65e-02    6.6e-04
  42000      2.71e+00      5.03e-02      1.03e-01    6.6e-04
  43000      5.63e-01      1.38e-02      2.17e-02    6.6e-04
  44000      1.58e+00      5.16e-03      6.14e-02    6.6e-04
  45000      2.63e+00      1.42e-03      1.05e-01    6.3e-04
  46000      2.16e+00      1.94e-02      8.61e-02    6.3e-04
  47000      2.55e+00      3.30e-03      1.01e-01    6.3e-04
  48000      2.24e+00      7.36e-03      8.92e-02    6.3e-04
  49000      2.98e+00      6.69e-02      1.18e-01    6.3e-04
  50000      2.04e+00      4.29e-03      8.35e-02    6.0e-04
  51000      1.38e+00      1.20e-02      5.64e-02    6.0e-04
  52000      2.54e+00      5.98e-03      1.04e-01    6.0e-04
  53000      2.78e+00      1.06e-01      9.89e-02    6.0e-04
  54000      4.19e-01      7.81e-03      1.71e-02    6.0e-04
  55000      2.18e+00      9.99e-03      9.10e-02    5.7e-04
  56000      2.33e+00      4.03e-04      9.77e-02    5.7e-04
  57000      2.65e+00      4.12e-03      1.11e-01    5.7e-04
  58000      2.40e+00      1.93e-03      1.01e-01    5.7e-04
  59000      8.51e-01      3.43e-03      3.57e-02    5.7e-04
  60000      2.43e+00      5.03e-03      1.04e-01    5.4e-04
  61000      7.09e-01      1.14e-02      3.04e-02    5.4e-04
  62000      1.85e+00      1.28e-05      7.97e-02    5.4e-04
  63000      2.17e+00      1.00e-02      9.31e-02    5.4e-04
  64000      2.38e+00      5.78e-03      1.02e-01    5.4e-04
  65000      2.74e+00      5.88e-03      1.21e-01    5.1e-04
  66000      2.34e+00      1.58e-02      1.03e-01    5.1e-04
  67000      1.84e+00      4.40e-02      8.07e-02    5.1e-04
  68000      2.40e+00      3.38e-03      1.06e-01    5.1e-04
  69000      2.31e+00      1.24e-02      1.02e-01    5.1e-04
  70000      2.26e+00      7.53e-03      1.02e-01    4.9e-04
  71000      1.94e+00      1.36e-02      8.76e-02    4.9e-04
  72000      2.43e+00      4.87e-03      1.10e-01    4.9e-04
  73000      2.47e+00      3.25e-03      1.12e-01    4.9e-04
  74000      1.62e+00      3.26e-02      7.27e-02    4.9e-04
  75000      2.04e+00      9.65e-04      9.48e-02    4.6e-04
  76000      1.89e+00      1.55e-02      8.76e-02    4.6e-04
  77000      2.37e+00      1.08e-02      1.10e-01    4.6e-04
  78000      2.50e+00      1.04e-02      1.16e-01    4.6e-04
  79000      2.16e+00      1.71e-05      1.00e-01    4.6e-04
  80000      1.42e+00      1.35e-03      6.79e-02    4.4e-04
