# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
200000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 5.69181e-06 1e-06
28 1.65 0.000110389 2.2e-05
29 1.71 0.00117111 0.00026
30 1.77 0.00856487 0.002126
31 1.83 0.0476143 0.013209
32 1.89 0.183142 0.058674
33 1.95 0.535573 0.20019
34 2.01 1.20719 0.539087
35 2.07 2.17345 1.18616
36 2.13 3.24834 2.21006
37 2.19 4.17088 3.59973
38 2.25 4.74908 5.26975
39 2.31 4.94823 7.10355
40 2.37 4.81681 8.98222
41 2.43 4.48035 10.8189
42 2.49 4.03083 12.5534
43 2.55 3.56422 14.1617
44 2.61 3.11242 15.6328
45 2.67 2.71451 16.9754
46 2.73 2.37298 18.2024
47 2.79 2.08658 19.3293
48 2.85 1.85245 20.3733
49 2.91 1.66714 21.353
50 2.97 1.51545 22.2807
51 3.03 1.4006 23.1731
52 3.09 1.31533 24.0448
53 3.15 1.25768 24.9111
54 3.21 1.21979 25.7836
55 3.27 1.20265 26.6765
56 3.33 1.20816 27.6069
57 3.39 1.22698 28.5861
58 3.45 1.26434 29.6314
59 3.51 1.3161 30.7576
60 3.57 1.38323 31.9821
61 3.63 1.46219 33.3204
62 3.69 1.55845 34.7944
63 3.75 1.6612 36.4169
64 3.81 1.77203 38.2034
65 3.87 1.88554 40.1645
66 3.93 1.99864 42.3081
67 3.99 2.10978 44.6404
68 4.05 2.21461 47.1627
69 4.11 2.30753 49.8691
70 4.17 2.38802 52.7523
71 4.23 2.45094 55.7972
72 4.29 2.49568 58.9862
73 4.35 2.5233 62.3013
74 4.41 2.52455 65.7102
75 4.47 2.50791 69.1893
76 4.53 2.4677 72.705
77 4.59 2.41495 76.2371
78 4.65 2.35011 79.7645
79 4.71 2.27587 83.2688
80 4.77 2.19291 86.7318
81 4.83 2.10955 90.1471
82 4.89 2.02989 93.5155
83 4.95 1.95308 96.8364
84 5.01 1.88367 100.117
85 5.07 1.82397 103.371
86 5.13 1.77401 106.611
87 5.19 1.73644 109.857
88 5.25 1.70875 113.126
89 5.31 1.69226 116.439
90 5.37 1.68859 119.819
91 5.43 1.69232 123.284
92 5.49 1.7084 126.86
93 5.55 1.73302 130.567
94 5.61 1.76438 134.424
95 5.67 1.80541 138.455
96 5.73 1.85078 142.676
97 5.79 1.89487 147.088
98 5.85 1.94364 151.708
99 5.91 1.99343 156.543
100 5.97 2.03867 161.589
300000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 5.69659e-06 1e-06
28 1.65 0.000126859 2.5e-05
29 1.71 0.00107789 0.000244
30 1.77 0.00896057 0.002195
31 1.83 0.0478896 0.013339
32 1.89 0.186366 0.059599
33 1.95 0.54022 0.202337
34 2.01 1.21493 0.543405
35 2.07 2.18723 1.19462
36 2.13 3.26336 2.22337
37 2.19 4.1872 3.61875
38 2.25 4.76929 5.29639
39 2.31 4.95328 7.13289
40 2.37 4.82247 9.01497
41 2.43 4.47095 10.8493
42 2.49 4.02543 12.5834
43 2.55 3.54597 14.1855
44 2.61 3.1026 15.654
45 2.67 2.69922 16.991
46 2.73 2.35643 18.2112
47 2.79 2.07158 19.3316
48 2.85 1.84187 20.3711
