# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
214300 0.00034625 0.000346187 -0.0389062 0.00157422
214400 0.00059625 0.00059607 -0.0631586 0.00416776
214500 0.00084625 0.00084589 -0.103064 0.0106605
214600 0.00109625 0.00109565 -0.103483 0.0107576
214700 0.00134625 0.00134534 -0.142825 0.0206611
214800 0.00159625 0.00159497 -0.160759 0.025945
214900 0.00184625 0.00184455 -0.161058 0.0263639
215000 0.00209625 0.00209405 -0.210601 0.0444601
215100 0.00234625 0.0023435 -0.212143 0.0450501
215200 0.00259625 0.00259288 -0.269313 0.0726565
215300 0.00284625 0.0028422 -0.24523 0.0603994
215400 0.00309625 0.00309146 -0.29167 0.0856706
215500 0.00334625 0.00334066 -0.293058 0.0864677
215600 0.00359625 0.0035898 -0.291567 0.0855998
215700 0.00384625 0.00383887 -0.362889 0.131792
215800 0.00409625 0.00408788 -0.34774 0.121222
215900 0.00434625 0.00433683 -0.40125 0.161137
216000 0.00459625 0.00458572 -0.383826 0.14737
216100 0.00484625 0.00483454 -0.418023 0.174963
216200 0.00509625 0.00508331 -0.434505 0.188852
216300 0.00534625 0.00533201 -0.472293 0.223236
216400 0.00559625 0.00558065 -0.477395 0.227983
216500 0.00584625 0.00582922 -0.511123 0.261539
216600 0.00609625 0.00607774 -0.511569 0.261801
216700 0.00634625 0.00632619 -0.536828 0.288605
216800 0.00659625 0.00657459 -0.571476 0.326632
216900 0.00684625 0.00682292 -0.592458 0.351208
217000 0.00709625 0.00707119 -0.605692 0.366936
217100 0.00734625 0.0073194 -0.608795 0.370879
217200 0.00759625 0.00756754 -0.646383 0.41785
217300 0.00784625 0.00781563 -0.6403 0.410078
217400 0.00809625 0.00806365 -0.697399 0.486532
217500 0.00834625 0.00831161 -0.678874 0.461024
217600 0.00859625 0.00855951 -0.724286 0.52482
217700 0.00884625 0.00880735 -0.731768 0.535573
217800 0.00909625 0.00905513 -0.760537 0.578785
217900 0.00934625 0.00930284 -0.784409 0.615483
218000 0.00959625 0.0095505 -0.765219 0.585668
218100 0.00984625 0.00979809 -0.812778 0.6607
218200 0.0100962 0.0100456 -0.820394 0.673082
218300 0.0103463 0.0102931 -0.844558 0.713466
218400 0.0105963 0.0105405 -0.875611 0.76674
218500 0.0108463 0.0107878 -0.878693 0.772149
218600 0.0110962 0.0110351 -0.915452 0.838154
218700 0.0113462 0.0112824 -0.920085 0.846723
218800 0.0115963 0.0115295 -0.930534 0.866113
218900 0.0118463 0.0117766 -0.964955 0.931181
219000 0.0120962 0.0120237 -0.962959 0.927389
219100 0.0123462 0.0122707 -1.00942 1.01925
219200 0.0125963 0.0125176 -1.01318 1.02659
219300 0.0128462 0.0127644 -1.03433 1.06991
219400 0.0130963 0.0130112 -1.04243 1.08668
219500 0.0133462 0.013258 -1.05433 1.11169
219600 0.0135962 0.0135046 -1.08088 1.16835
219700 0.0138462 0.0137513 -1.111 1.23439
219800 0.0140963 0.0139978 -1.09914 1.20825
219900 0.0143463 0.0142443 -1.12587 1.26829
220000 0.0145962 0.0144907 -1.17742 1.38648
220100 0.0148463 0.0147371 -1.15318 1.32995
220200 0.0150963 0.0149834 -1.21298 1.47142
220300 0.0153463 0.0152297 -1.18836 1.41222
220400 0.0155962 0.0154759 -1.22745 1.507
220500 0.0158462 0.015722 -1.21924 1.48698
220600 0.0160963 0.0159681 -1.24077 1.54013
220700 0.0163463 0.0162141 -1.26572 1.60217
220800 0.0165963 0.01646 -1.25761 1.58207
220900 0.0168462 0.0167059 -1.31204 1.72151
221000 0.0170963 0.0169518 -1.29328 1.6726
221100 0.0173462 0.0171975 -1.3337 1.77884
221200 0.0175963 0.0174432 -1.29568 1.67898
221300 0.0178462 0.0176889 -1.3512 1.82646
221400 0.0180962 0.0179345 -1.36688 1.86864
221500 0.0183462 0.01818 -1.38327 1.91402
221600 0.0185962 0.0184255 -1.40616 1.97761
221700 0.0188463 0.0186709 -1.38855 1.92843
221800 0.0190962 0.0189162 -1.43682 2.06451
221900 0.0193463 0.0191615 -1.4085 1.98406
222000 0.0195963 0.0194067 -1.46297 2.14043
222100 0.0198463 0.0196519 -1.43903 2.0709
222200 0.0200962 0.019897 -1.47365 2.17194
222300 0.0203462 0.020142 -1.48284 2.19897
222400 0.0205963 0.020387 -1.50017 2.25069
222500 0.0208462 0.0206319 -1.49602 2.23839
222600 0.0210963 0.0208768 -1.51605 2.29854
222700 0.0213462 0.0211216 -1.5292 2.33847
222800 0.0215962 0.0213664 -1.54448 2.38575
222900 0.0218462 0.021611 -1.56896 2.46167
223000 0.0220963 0.0218557 -1.56454 2.44783
223100 0.0223463 0.0221002 -1.56703 2.45566
223200 0.0225962 0.0223447 -1.55226 2.40963
223300 0.0228462 0.0225892 -1.58175 2.50197
223400 0.0230962 0.0228336 -1.57478 2.47998
223500 0.0233463 0.0230779 -1.61148 2.59703
223600 0.0235962 0.0233222 -1.60744 2.58389
223700 0.0238462 0.0235664 -1.60748 2.58404
223800 0.0240963 0.0238105 -1.62403 2.63753
223900 0.0243463 0.0240546 -1.64155 2.69474
224000 0.0245963 0.0242986 -1.62361 2.63618
224100 0.0248462 0.0245426 -1.62416 2.63791
224200 0.0250963 0.0247865 -1.62694 2.64704
224300 0.0253462 0.0250304 -1.60919 2.58954
224400 0.0255963 0.0252741 -1.64326 2.70044
224500 0.0258463 0.0255179 -1.65807 2.74929
224600 0.0260962 0.0257616 -1.66995 2.78878
224700 0.0263462 0.0260052 -1.62799 2.65051
224800 0.0265963 0.0262487 -1.68086 2.82581
224900 0.0268463 0.0264922 -1.67029 2.7903
225000 0.0270962 0.0267356 -1.69242 2.86483
225100 0.0273462 0.026979 -1.67876 2.81896
225200 0.0275962 0.0272223 -1.65586 2.74238
225300 0.0278463 0.0274656 -1.69068 2.85855
225400 0.0280963 0.0277088 -1.66053 2.75743
225500 0.0283462 0.0279519 -1.70096 2.89333
225600 0.0285962 0.028195 -1.68033 2.82358
225700 0.0288462 0.028438 -1.72192 2.96512
225800 0.0290963 0.028681 -1.69288 2.86619
225900 0.0293462 0.0289239 -1.72601 2.97994
226000 0.0295963 0.0291667 -1.72876 2.98906
226100 0.0298462 0.0294095 -1.7227 2.96811
226200 0.0300963 0.0296522 -1.78207 3.17591
226300 0.0303463 0.0298949 -1.75171 3.06854
226400 0.0305962 0.0301375 -1.78659 3.19195
226500 0.0308462 0.0303801 -1.76792 3.12558
226600 0.0310962 0.0306226 -1.79297 3.21479
226700 0.0313463 0.030865 -1.79624 3.22655
226800 0.0315962 0.0311074 -1.81865 3.3076
226900 0.0318462 0.0313497 -1.79518 3.22271
227000 0.0320962 0.0315919 -1.82075 3.31529
227100 0.0323463 0.0318341 -1.79568 3.22457
