# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
189100 0.00016125 0.000161234 -0.0321937 0.00124526
189200 0.00041125 0.000411163 -0.0584137 0.00345147
189300 0.00066125 0.000661029 -0.0586414 0.00346389
189400 0.00091125 0.000910832 -0.0779703 0.00613319
189500 0.00116125 0.00116057 -0.106422 0.0113757
189600 0.00141125 0.00141025 -0.120331 0.0145716
189700 0.00166125 0.00165987 -0.148265 0.0221876
189800 0.00191125 0.00190942 -0.163797 0.0268841
189900 0.00216125 0.00215892 -0.169102 0.0286092
190000 0.00241125 0.00240835 -0.201428 0.0406582
190100 0.00266125 0.00265771 -0.209766 0.0440463
190200 0.00291125 0.00290702 -0.228617 0.0524832
190300 0.00316125 0.00315626 -0.264978 0.0702511
190400 0.00341125 0.00340544 -0.281055 0.0792433
190500 0.00366125 0.00365456 -0.310362 0.0963894
190600 0.00391125 0.00390362 -0.299186 0.0896154
190700 0.00416125 0.00415261 -0.337156 0.113732
190800 0.00441125 0.00440155 -0.322215 0.103887
190900 0.00466125 0.00465042 -0.362284 0.131601
191000 0.00491125 0.00489923 -0.386928 0.149758
191100 0.00516125 0.00514797 -0.404515 0.163807
191200 0.00541125 0.00539666 -0.424886 0.180574
191300 0.00566125 0.00564528 -0.437772 0.1919
191400 0.00591125 0.00589384 -0.462059 0.21357
191500 0.00616125 0.00614234 -0.465262 0.216606
191600 0.00641125 0.00639078 -0.495902 0.24601
191700 0.00666125 0.00663916 -0.495737 0.245797
191800 0.00691125 0.00688747 -0.535961 0.287453
191900 0.00716125 0.00713573 -0.547103 0.299362
192000 0.00741125 0.00738392 -0.574463 0.330248
192100 0.00766125 0.00763205 -0.58412 0.341246
192200 0.00791125 0.00788012 -0.595975 0.355489
192300 0.00816125 0.00812812 -0.638536 0.407769
192400 0.00841125 0.00837607 -0.641746 0.411877
192500 0.00866125 0.00862395 -0.672448 0.452289
192600 0.00891125 0.00887178 -0.672575 0.452424
192700 0.00916125 0.00911954 -0.707706 0.501017
192800 0.00941125 0.00936724 -0.723165 0.523014
192900 0.00966125 0.00961488 -0.742274 0.551064
193000 0.00991125 0.00986245 -0.75348 0.567806
193100 0.0101613 0.01011 -0.786114 0.61809
193200 0.0104113 0.0103574 -0.777815 0.605028
193300 0.0106613 0.0106048 -0.809066 0.654971
193400 0.0109113 0.0108521 -0.844293 0.712926
193500 0.0111613 0.0110994 -0.837413 0.701465
193600 0.0114113 0.0113466 -0.872444 0.7612
193700 0.0116613 0.0115938 -0.855859 0.732562
193800 0.0119113 0.0118409 -0.888529 0.78955
193900 0.0121613 0.0120879 -0.908638 0.825677
194000 0.0124113 0.0123349 -0.931576 0.867846
194100 0.0126613 0.0125818 -0.932383 0.869421
194200 0.0129113 0.0128286 -0.959053 0.919844
194300 0.0131613 0.0130754 -0.956035 0.914046
194400 0.0134113 0.0133221 -0.978483 0.957602
194500 0.0136613 0.0135688 -1.00122 1.00255
194600 0.0139113 0.0138154 -1.02422 1.04905
194700 0.0141613 0.0140619 -1.02083 1.04233
194800 0.0144113 0.0143084 -1.03494 1.07143
194900 0.0146613 0.0145548 -1.05157 1.10585
195000 0.0149113 0.0148012 -1.07024 1.14566
195100 0.0151613 0.0150475 -1.07458 1.15516
195200 0.0154113 0.0152937 -1.09016 1.18907
195300 0.0156613 0.0155399 -1.10464 1.22052
195400 0.0159113 0.015786 -1.09745 1.20502
195500 0.0161613 0.016032 -1.13952 1.29877
195600 0.0164113 0.016278 -1.111 1.23477
195700 0.0166613 0.016524 -1.17734 1.38625
195800 0.0169113 0.0167698 -1.15303 1.32962
195900 0.0171613 0.0170157 -1.215 1.47646
196000 0.0174113 0.0172614 -1.17928 1.39078
196100 0.0176613 0.0175071 -1.24453 1.54921
196200 0.0179113 0.0177527 -1.21511 1.47693
196300 0.0181613 0.0179983 -1.24127 1.54129
196400 0.0184113 0.0182438 -1.25497 1.57508
196500 0.0186613 0.0184893 -1.2539 1.57246
196600 0.0189113 0.0187347 -1.27017 1.61336
196700 0.0191613 0.01898 -1.27367 1.62245
196800 0.0194113 0.0192253 -1.31218 1.72187
196900 0.0196613 0.0194705 -1.29165 1.66841
197000 0.0199113 0.0197156 -1.32997 1.76901
197100 0.0201613 0.0199607 -1.33425 1.78039
197200 0.0204113 0.0202057 -1.32568 1.75747
197300 0.0206613 0.0204507 -1.3382 1.79082
197400 0.0209113 0.0206956 -1.34613 1.81212
197500 0.0211613 0.0209405 -1.35585 1.83836
197600 0.0214113 0.0211852 -1.36046 1.85095
197700 0.0216613 0.02143 -1.38087 1.90687
197800 0.0219113 0.0216746 -1.38233 1.91098
197900 0.0221613 0.0219193 -1.42059 2.01814
198000 0.0224113 0.0221638 -1.4079 1.98226
198100 0.0226613 0.0224083 -1.42612 2.03388
198200 0.0229113 0.0226527 -1.42316 2.02545
