#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      7.13e+00      5.48e-01      2.25e-01    1.0e-03
   2000      2.00e+00      2.15e+00      5.03e-02    1.0e-03
   4000      2.02e+00      1.68e+00      5.65e-02    1.0e-03
   6000      6.02e+00      1.14e+00      1.89e-01    1.0e-03
   8000      4.58e-02      3.86e-02      1.27e-03    1.0e-03
  10000      2.32e+00      1.16e-01      7.32e-02    1.0e-03
  12000      3.12e-01      1.64e-01      9.41e-03    1.0e-03
  14000      4.50e-01      7.77e-02      1.42e-02    1.0e-03
  16000      2.15e-01      3.54e-02      6.76e-03    1.0e-03
  18000      5.71e-01      1.27e-01      1.79e-02    1.0e-03
  20000      5.59e-01      7.60e-02      1.76e-02    1.0e-03
  22000      1.76e+00      3.08e-03      5.55e-02    1.0e-03
  24000      6.70e-01      2.11e-01      2.08e-02    1.0e-03
  26000      2.41e-01      1.31e-01      7.25e-03    1.0e-03
  28000      7.58e-01      4.14e-02      2.40e-02    1.0e-03
  30000      5.80e-01      1.57e-01      1.81e-02    1.0e-03
  32000      1.02e+00      5.56e-02      3.24e-02    1.0e-03
  34000      2.77e+00      6.36e-02      8.74e-02    1.0e-03
  36000      1.25e+00      2.54e-02      3.94e-02    1.0e-03
  38000      2.90e-01      6.31e-02      9.04e-03    1.0e-03
  40000      4.45e-01      7.94e-02      1.40e-02    9.5e-04
  42000      1.73e+00      3.82e-02      5.60e-02    9.5e-04
  44000      5.19e-01      4.22e-03      1.68e-02    9.5e-04
  46000      3.61e-01      3.46e-02      1.15e-02    9.5e-04
  48000      1.87e+00      1.09e-01      6.06e-02    9.5e-04
  50000      6.96e-01      9.10e-03      2.26e-02    9.5e-04
  52000      2.90e-01      1.09e-02      9.37e-03    9.5e-04
  54000      6.43e-01      4.85e-02      2.06e-02    9.5e-04
  56000      2.78e-01      1.27e-02      9.01e-03    9.5e-04
  58000      1.32e+00      7.12e-02      4.27e-02    9.5e-04
  60000      1.70e+00      6.00e-02      5.49e-02    9.5e-04
  62000      4.77e-01      5.80e-02      1.50e-02    9.5e-04
  64000      4.91e-01      3.23e-02      1.59e-02    9.5e-04
  66000      1.22e-01      5.27e-03      3.95e-03    9.5e-04
  68000      7.92e-01      5.49e-01      7.45e-03    9.5e-04
  70000      6.76e-01      7.64e-03      2.19e-02    9.5e-04
  72000      1.25e+00      3.60e-02      4.05e-02    9.5e-04
  74000      6.39e-01      1.04e-01      2.02e-02    9.5e-04
  76000      2.22e-01      1.71e-02      7.12e-03    9.5e-04
