#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      9.12e-01      8.69e-01      2.43e-02    1.0e-03
   1000      1.48e+00      4.13e-02      4.68e-02    1.0e-03
   2000      1.20e+00      3.48e-01      3.76e-02    1.0e-03
   3000      3.13e-01      8.32e-02      9.79e-03    1.0e-03
   4000      1.80e+00      6.88e-02      5.69e-02    1.0e-03
   5000      1.16e+00      3.03e-02      3.68e-02    1.0e-03
   6000      2.92e-01      4.80e-02      9.15e-03    1.0e-03
   7000      4.15e-01      2.50e-02      1.31e-02    1.0e-03
   8000      9.92e-01      1.20e-01      3.13e-02    1.0e-03
   9000      3.66e-01      2.39e-02      1.15e-02    1.0e-03
  10000      5.12e-01      1.53e-01      1.39e-02    9.5e-04
  11000      4.09e-01      9.92e-02      1.19e-02    9.5e-04
  12000      3.79e-01      5.13e-02      1.21e-02    9.5e-04
  13000      6.17e-01      1.06e-01      1.93e-02    9.5e-04
  14000      7.73e-01      3.47e-01      2.21e-02    9.5e-04
  15000      5.36e-01      6.67e-02      1.69e-02    9.5e-04
  16000      1.11e+00      7.49e-03      3.60e-02    9.5e-04
  17000      1.07e+00      2.59e-01      3.23e-02    9.5e-04
  18000      3.13e-01      1.44e-02      1.01e-02    9.5e-04
  19000      3.13e-01      2.77e-01      3.79e-03    9.5e-04
  20000      8.49e-01      1.26e-01      2.77e-02    9.0e-04
  21000      9.97e-02      1.72e-02      2.98e-03    9.0e-04
  22000      3.27e-01      4.96e-02      1.04e-02    9.0e-04
  23000      3.74e-01      8.65e-03      1.24e-02    9.0e-04
  24000      1.40e+00      3.59e-02      4.65e-02    9.0e-04
  25000      5.15e-01      1.06e-01      1.65e-02    9.0e-04
  26000      4.01e-01      2.93e-02      1.32e-02    9.0e-04
  27000      4.59e-01      3.78e-02      1.50e-02    9.0e-04
  28000      9.96e-01      7.90e-02      3.30e-02    9.0e-04
  29000      1.37e+00      6.48e-02      4.55e-02    9.0e-04
  30000      4.18e-01      1.11e-02      1.42e-02    8.6e-04
  31000      1.09e+00      1.68e-02      3.71e-02    8.6e-04
  32000      1.54e+00      9.16e-02      5.23e-02    8.6e-04
  33000      8.18e-02      9.69e-03      2.74e-03    8.6e-04
  34000      5.89e-01      1.57e-01      1.82e-02    8.6e-04
  35000      6.72e-01      9.87e-03      2.30e-02    8.6e-04
  36000      5.19e-01      1.18e-01      1.65e-02    8.6e-04
  37000      9.96e-01      7.27e-03      3.40e-02    8.6e-04
  38000      9.89e-01      1.07e-02      3.38e-02    8.6e-04
  39000      1.35e-01      9.46e-03      4.55e-03    8.6e-04
  40000      3.66e-01      2.70e-02      1.27e-02    8.1e-04
  41000      5.62e-01      5.73e-02      1.94e-02    8.1e-04
  42000      2.54e-01      6.00e-02      8.05e-03    8.1e-04
  43000      2.32e-01      4.77e-03      8.11e-03    8.1e-04
  44000      2.71e-01      2.09e-02      9.42e-03    8.1e-04
  45000      3.74e-01      2.00e-02      1.29e-02    8.1e-04
  46000      8.26e-02      2.92e-02      2.24e-03    8.1e-04
  47000      1.98e-01      3.21e-02      6.01e-03    8.1e-04
  48000      1.50e-01      6.19e-02      3.51e-03    8.1e-04
  49000      1.66e-01      5.52e-03      5.80e-03    8.1e-04
  50000      1.29e-01      5.36e-02      2.69e-03    7.7e-04
  51000      2.58e-01      3.96e-02      8.84e-03    7.7e-04
  52000      1.21e-01      5.02e-02      2.50e-03    7.7e-04
  53000      3.64e-01      1.37e-03      1.31e-02    7.7e-04
  54000      7.14e-01      1.88e-03      2.56e-02    7.7e-04
  55000      8.24e-01      3.73e-02      2.95e-02    7.7e-04
  56000      3.35e-01      1.02e-01      6.42e-03    7.7e-04
  57000      8.26e-01      1.33e-02      2.97e-02    7.7e-04
  58000      3.86e-01      4.19e-02      1.29e-02    7.7e-04
  59000      5.81e-01      2.40e-02      2.08e-02    7.7e-04
  60000      1.45e-01      3.65e-02      3.54e-03    7.4e-04
  61000      3.52e-02      6.58e-04      1.29e-03    7.4e-04
  62000      6.37e-01      1.44e-02      2.34e-02    7.4e-04
  63000      6.85e-01      2.72e-02      2.52e-02    7.4e-04
  64000      7.13e-01      1.14e-01      2.47e-02    7.4e-04
  65000      4.65e-01      1.82e-02      1.71e-02    7.4e-04
  66000      8.49e-02      3.80e-02      1.00e-03    7.4e-04
  67000      2.79e-01      1.23e-02      1.02e-02    7.4e-04
  68000      5.77e-01      1.28e-01      1.88e-02    7.4e-04
  69000      9.04e-01      7.83e-03      3.33e-02    7.4e-04
  70000      6.67e-01      1.35e-03      2.52e-02    7.0e-04
  71000      9.18e-01      5.88e-03      3.47e-02    7.0e-04
  72000      9.45e-02      2.03e-02      2.61e-03    7.0e-04
  73000      8.88e-01      2.60e-02      3.35e-02    7.0e-04
  74000      8.29e-01      3.92e-02      3.12e-02    7.0e-04
  75000      1.71e-01      1.07e-02      6.28e-03    7.0e-04
  76000      6.62e-01      5.82e-02      2.46e-02    7.0e-04
  77000      1.04e-01      2.28e-02      2.82e-03    7.0e-04
  78000      7.04e-02      1.63e-02      1.80e-03    7.0e-04
  79000      7.69e-02      1.92e-02      1.78e-03    7.0e-04
  80000      1.76e-01      3.12e-03      6.81e-03    6.6e-04
  81000      8.28e-02      3.61e-03      3.18e-03    6.6e-04
  82000      2.22e-01      6.95e-02      5.79e-03    6.6e-04
  83000      1.80e-01      7.82e-03      6.88e-03    6.6e-04
  84000      6.21e-01      2.73e-02      2.40e-02    6.6e-04
  85000      6.00e-01      1.20e-03      2.33e-02    6.6e-04
  86000      3.30e-02      1.28e-02      5.19e-04    6.6e-04
  87000      5.23e-02      5.73e-03      1.96e-03    6.6e-04
  88000      1.02e-01      1.13e-02      3.44e-03    6.6e-04
  89000      2.84e-02      4.37e-03      9.45e-04    6.6e-04
  90000      4.86e-01      3.43e-02      1.90e-02    6.3e-04
  91000      5.22e-02      1.36e-02      8.70e-04    6.3e-04
  92000      9.84e-02      1.14e-03      3.91e-03    6.3e-04
  93000      1.87e-01      7.47e-02      1.03e-03    6.3e-04
  94000      3.83e-01      2.22e-02      1.50e-02    6.3e-04
  95000      7.77e-02      1.67e-02      1.21e-03    6.3e-04
  96000      1.36e-01      3.86e-02      7.68e-04    6.3e-04
  97000      1.71e-01      7.37e-03      6.68e-03    6.3e-04
  98000      1.19e-01      1.07e-02      4.39e-03    6.3e-04
  99000      2.27e-01      1.67e-03      9.05e-03    6.3e-04
 100000      2.48e-01      4.78e-04      1.01e-02    6.0e-04
 101000      6.98e-01      2.00e-03      2.85e-02    6.0e-04
 102000      2.29e-01      1.53e-02      8.86e-03    6.0e-04
 103000      5.84e-01      3.55e-02      2.33e-02    6.0e-04
 104000      9.60e-02      5.86e-03      3.82e-03    6.0e-04
 105000      4.70e-01      3.29e-02      1.86e-02    6.0e-04
 106000      1.49e-01      6.96e-03      5.93e-03    6.0e-04
 107000      1.53e-01      6.84e-03      6.12e-03    6.0e-04
 108000      1.41e-01      2.38e-03      5.75e-03    6.0e-04
 109000      7.49e-01      3.26e-02      3.02e-02    6.0e-04
 110000      2.84e-01      1.28e-03      1.19e-02    5.7e-04
 111000      7.15e-01      6.62e-03      2.99e-02    5.7e-04
 112000      4.64e-01      1.82e-02      1.93e-02    5.7e-04
 113000      2.72e-01      3.78e-02      1.06e-02    5.7e-04
 114000      2.16e-01      2.85e-02      6.85e-03    5.7e-04
 115000      3.08e-01      2.16e-02      1.27e-02    5.7e-04
 116000      2.62e-01      1.55e-02      1.07e-02    5.7e-04
 117000      9.13e-02      2.31e-02      1.17e-03    5.7e-04
 118000      1.25e-01      2.49e-02      4.45e-03    5.7e-04
 119000      7.90e-01      3.03e-02      3.28e-02    5.7e-04
 120000      1.94e-01      1.97e-02      7.32e-03    5.4e-04
 121000      5.18e-01      4.76e-02      2.15e-02    5.4e-04
 122000      6.29e-01      1.49e-02      2.69e-02    5.4e-04
 123000      9.33e-01      2.26e-02      4.00e-02    5.4e-04
 124000      1.14e-01      8.71e-03      4.78e-03    5.4e-04
 125000      4.65e-01      2.87e-02      1.97e-02    5.4e-04
 126000      2.28e-01      4.98e-02      7.84e-03    5.4e-04
 127000      6.55e-02      1.36e-02      1.67e-03    5.4e-04
 128000      2.01e-01      6.90e-03      8.62e-03    5.4e-04
 129000      9.10e-01      2.75e-02      3.90e-02    5.4e-04
 130000      5.07e-01      1.35e-02      2.23e-02    5.1e-04
 131000      1.34e-01      1.48e-02      4.97e-03    5.1e-04
 132000      1.98e-01      2.21e-02      7.08e-03    5.1e-04
 133000      8.68e-02      2.01e-02      1.45e-03    5.1e-04
 134000      7.43e-01      4.44e-03      3.28e-02    5.1e-04
 135000      5.68e-01      5.93e-03      2.51e-02    5.1e-04
 136000      7.31e-01      9.37e-03      3.22e-02    5.1e-04
 137000      2.89e-01      7.21e-02      1.04e-03    5.1e-04
 138000      4.28e-02      1.33e-02      9.08e-04    5.1e-04
 139000      3.55e-01      6.32e-03      1.56e-02    5.1e-04
 140000      1.91e-01      5.78e-03      8.62e-03    4.9e-04
 141000      4.56e-02      2.07e-03      2.04e-03    4.9e-04
 142000      1.82e-01      7.90e-03      8.00e-03    4.9e-04
 143000      1.50e-01      1.05e-02      6.33e-03    4.9e-04
 144000      1.02e-01      1.55e-02      3.65e-03    4.9e-04
 145000      3.39e-01      8.13e-02      3.14e-03    4.9e-04
 146000      5.84e-01      3.29e-02      2.63e-02    4.9e-04
 147000      1.44e-02      3.21e-03      2.74e-04    4.9e-04
 148000      1.52e-01      3.27e-03      6.85e-03    4.9e-04
 149000      6.99e-02      2.02e-02      1.74e-03    4.9e-04
 150000      1.36e-01      2.13e-03      6.29e-03    4.6e-04
 151000      4.57e-01      2.35e-02      2.07e-02    4.6e-04
 152000      8.04e-01      3.72e-03      3.73e-02    4.6e-04
 153000      1.63e-01      1.05e-02      7.12e-03    4.6e-04
 154000      4.52e-02      2.74e-04      2.10e-03    4.6e-04
 155000      8.90e-02      1.89e-02      1.91e-03    4.6e-04
 156000      5.01e-01      2.68e-02      2.30e-02    4.6e-04
 157000      1.34e-01      4.41e-02      1.49e-03    4.6e-04
 158000      2.47e-01      1.64e-03      1.14e-02    4.6e-04
 159000      1.32e-01      2.57e-02      5.03e-03    4.6e-04
 160000      1.15e-01      1.17e-02      4.96e-03    4.4e-04
 161000      8.84e-01      3.06e-02      4.19e-02    4.4e-04
 162000      8.61e-02      5.80e-03      3.93e-03    4.4e-04
 163000      4.58e-01      1.62e-02      2.17e-02    4.4e-04
 164000      7.52e-01      1.34e-02      3.58e-02    4.4e-04
 165000      1.65e-01      2.41e-02      7.08e-03    4.4e-04
 166000      4.17e-01      1.53e-02      1.96e-02    4.4e-04
 167000      9.35e-02      7.97e-03      4.15e-03    4.4e-04
 168000      1.88e-01      2.05e-03      8.95e-03    4.4e-04
 169000      5.60e-02      7.31e-03      2.22e-03    4.4e-04
 170000      7.50e-01      2.23e-02      3.65e-02    4.2e-04
 171000      1.35e-01      4.25e-02      1.64e-03    4.2e-04
 172000      2.21e-01      2.86e-02      8.91e-03    4.2e-04
 173000      5.32e-02      1.09e-02      1.18e-03    4.2e-04
 174000      7.62e-01      6.05e-03      3.72e-02    4.2e-04
 175000      2.34e-02      1.92e-03      1.07e-03    4.2e-04
 176000      2.29e-01      9.46e-03      1.09e-02    4.2e-04
 177000      6.34e-02      9.53e-05      3.10e-03    4.2e-04
 178000      1.60e-01      4.07e-03      7.82e-03    4.2e-04
 179000      4.18e-01      3.21e-03      2.04e-02    4.2e-04
 180000      4.35e-02      4.99e-03      1.62e-03    4.0e-04
 181000      1.10e-01      3.85e-03      5.43e-03    4.0e-04
 182000      8.25e-01      2.62e-02      4.11e-02    4.0e-04
 183000      7.99e-02      2.24e-02      1.93e-03    4.0e-04
 184000      1.63e-01      1.89e-02      6.98e-03    4.0e-04
 185000      7.24e-02      5.96e-03      3.18e-03    4.0e-04
 186000      5.75e-02      9.67e-03      2.45e-03    4.0e-04
 187000      4.17e-01      2.22e-02      2.06e-02    4.0e-04
 188000      1.63e-01      2.89e-03      8.16e-03    4.0e-04
 189000      5.46e-02      1.23e-02      3.29e-04    4.0e-04
 190000      8.70e-02      5.96e-03      4.26e-03    3.8e-04
 191000      2.37e-01      8.82e-03      1.20e-02    3.8e-04
 192000      8.53e-02      2.49e-03      4.35e-03    3.8e-04
 193000      3.61e-01      3.87e-03      1.86e-02    3.8e-04
 194000      3.93e-01      9.48e-03      2.01e-02    3.8e-04
 195000      2.52e-01      1.65e-02      1.27e-02    3.8e-04
 196000      1.73e-01      1.66e-02      8.04e-03    3.8e-04
 197000      1.08e-01      1.03e-02      4.74e-03    3.8e-04
 198000      6.57e-02      1.23e-02      1.84e-03    3.8e-04
 199000      5.31e-02      1.09e-02      1.06e-03    3.8e-04
 200000      1.41e-01      6.04e-03      7.36e-03    3.6e-04
 201000      1.31e-01      6.83e-03      6.74e-03    3.6e-04
 202000      9.11e-02      2.58e-03      4.75e-03    3.6e-04
 203000      7.14e-02      7.18e-03      3.00e-03    3.6e-04
 204000      3.98e-01      1.32e-02      2.08e-02    3.6e-04
 205000      4.04e-02      8.59e-03      5.39e-04    3.6e-04
 206000      4.77e-02      1.04e-02      1.79e-03    3.6e-04
 207000      3.15e-02      3.02e-03      1.50e-03    3.6e-04
 208000      4.30e-01      2.64e-02      2.22e-02    3.6e-04
 209000      1.56e-01      1.99e-02      7.48e-03    3.6e-04
 210000      2.13e-01      9.75e-03      1.11e-02    3.4e-04
 211000      8.13e-02      4.36e-03      4.26e-03    3.4e-04
 212000      1.11e-01      6.81e-03      5.62e-03    3.4e-04
 213000      6.83e-01      3.22e-03      3.70e-02    3.4e-04
 214000      1.37e-01      3.65e-03      7.32e-03    3.4e-04
 215000      1.17e-01      3.51e-02      1.41e-03    3.4e-04
 216000      3.82e-01      2.07e-02      2.00e-02    3.4e-04
 217000      5.00e-01      1.61e-02      2.68e-02    3.4e-04
 218000      1.32e-01      1.49e-03      7.13e-03    3.4e-04
 219000      1.92e-01      1.29e-02      9.59e-03    3.4e-04
