#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      4.03e+01      3.91e-01      1.27e+00    1.0e-03
   1000      5.54e+00      2.37e+00      1.64e-01    1.0e-03
   2000      3.08e+00      5.07e-01      9.66e-02    1.0e-03
   3000      2.64e+00      3.42e-02      8.35e-02    1.0e-03
   4000      2.91e+00      1.28e+00      8.92e-02    1.0e-03
   5000      3.22e+00      4.90e-01      1.01e-01    1.0e-03
   6000      3.49e-01      1.67e-01      1.06e-02    1.0e-03
   7000      2.65e+00      6.27e-02      8.37e-02    1.0e-03
   8000      2.65e+00      1.49e-01      8.39e-02    1.0e-03
   9000      2.43e+00      5.59e-01      7.56e-02    1.0e-03
  10000      2.01e+00      4.29e-01      6.27e-02    1.0e-03
  11000      2.43e+00      4.91e-02      7.67e-02    1.0e-03
  12000      2.64e-01      4.42e-02      8.28e-03    1.0e-03
  13000      3.27e+00      1.09e-01      1.03e-01    1.0e-03
  14000      1.66e+00      1.08e-01      5.25e-02    1.0e-03
  15000      1.60e+00      6.03e-02      5.05e-02    1.0e-03
  16000      2.29e+00      2.38e-01      7.20e-02    1.0e-03
  17000      2.34e+00      4.50e-02      7.38e-02    1.0e-03
  18000      3.68e+00      6.65e-03      1.16e-01    1.0e-03
  19000      3.61e+00      2.91e-02      1.14e-01    1.0e-03
  20000      1.68e+00      5.38e-02      5.31e-02    1.0e-03
  21000      4.54e+00      6.54e-02      1.44e-01    1.0e-03
  22000      2.00e+00      6.90e-02      6.31e-02    1.0e-03
  23000      4.92e+00      1.49e-02      1.56e-01    1.0e-03
  24000      2.71e+00      1.13e-01      8.57e-02    1.0e-03
  25000      2.30e+00      9.06e-02      7.28e-02    1.0e-03
  26000      2.98e+00      5.30e-03      9.41e-02    1.0e-03
  27000      1.92e+00      9.57e-02      6.08e-02    1.0e-03
  28000      2.03e+00      1.05e-01      6.42e-02    1.0e-03
  29000      2.48e+00      6.50e-03      7.85e-02    1.0e-03
  30000      3.18e-01      3.97e-02      1.00e-02    1.0e-03
  31000      3.28e+00      4.88e-02      1.04e-01    1.0e-03
  32000      4.21e-01      1.05e-01      1.32e-02    1.0e-03
  33000      9.31e-01      8.79e-02      2.94e-02    1.0e-03
  34000      2.67e+00      1.31e-02      8.44e-02    1.0e-03
  35000      2.97e+00      8.58e-02      9.38e-02    1.0e-03
  36000      2.74e+00      5.52e-02      8.65e-02    1.0e-03
  37000      2.10e+00      1.65e-01      6.62e-02    1.0e-03
  38000      1.71e+00      4.11e-02      5.41e-02    1.0e-03
  39000      1.80e+00      6.87e-02      5.69e-02    1.0e-03
  40000      3.75e+00      1.39e-01      1.19e-01    1.0e-03
  41000      3.51e+00      1.39e-01      1.11e-01    1.0e-03
  42000      1.85e+00      8.21e-02      5.84e-02    1.0e-03
  43000      5.38e-01      1.02e-02      1.70e-02    1.0e-03
  44000      3.07e+00      4.17e-02      9.69e-02    1.0e-03
  45000      2.12e+00      1.05e-02      6.70e-02    1.0e-03
  46000      1.95e+00      1.37e-01      6.16e-02    1.0e-03
  47000      4.47e+00      1.18e-01      1.41e-01    1.0e-03
  48000      1.70e+00      7.34e-02      5.37e-02    1.0e-03
  49000      2.15e+00      1.05e-01      6.81e-02    1.0e-03
  50000      9.66e-01      6.42e-02      3.12e-02    9.5e-04
  51000      2.08e+00      8.94e-02      6.72e-02    9.5e-04
  52000      1.68e+00      1.26e-01      5.41e-02    9.5e-04
  53000      1.70e+00      1.03e-02      5.53e-02    9.5e-04
  54000      2.77e+00      1.57e-02      9.00e-02    9.5e-04
  55000      1.34e+00      2.38e-02      4.35e-02    9.5e-04
  56000      2.46e-01      1.31e-01      4.90e-03    9.5e-04
  57000      3.34e-01      6.01e-02      1.06e-02    9.5e-04
  58000      4.87e-01      3.13e-02      1.58e-02    9.5e-04
  59000      3.06e+00      3.81e-02      9.93e-02    9.5e-04
  60000      2.37e+00      2.44e-02      7.69e-02    9.5e-04
  61000      4.83e-01      2.09e-01      1.40e-02    9.5e-04
  62000      3.05e-01      1.55e-01      6.46e-03    9.5e-04
  63000      1.69e+00      9.90e-03      5.49e-02    9.5e-04
  64000      4.83e-01      5.56e-02      1.54e-02    9.5e-04
  65000      4.53e-01      2.44e-02      1.47e-02    9.5e-04
  66000      2.36e-01      7.21e-02      6.83e-03    9.5e-04
  67000      2.52e+00      4.08e-02      8.18e-02    9.5e-04
  68000      2.63e+00      2.97e-02      8.54e-02    9.5e-04
  69000      3.80e-01      2.61e-01      8.54e-03    9.5e-04
  70000      3.88e+00      4.95e-02      1.26e-01    9.5e-04
  71000      2.56e+00      9.97e-03      8.32e-02    9.5e-04
  72000      1.59e+00      3.97e-02      5.14e-02    9.5e-04
  73000      4.01e-01      1.54e-02      1.30e-02    9.5e-04
  74000      7.49e-01      2.31e-02      2.43e-02    9.5e-04
  75000      1.58e-01      7.99e-02      3.37e-03    9.5e-04
  76000      1.81e+00      6.85e-03      5.88e-02    9.5e-04
  77000      1.59e+00      1.11e-01      5.13e-02    9.5e-04
  78000      1.85e+00      7.50e-02      5.98e-02    9.5e-04
  79000      1.77e+00      1.12e-01      5.73e-02    9.5e-04
  80000      2.50e-01      2.19e-02      8.03e-03    9.5e-04
  81000      1.58e+00      3.12e-02      5.14e-02    9.5e-04
  82000      1.51e+00      7.64e-03      4.89e-02    9.5e-04
  83000      1.01e+00      4.64e-02      3.26e-02    9.5e-04
  84000      1.15e+00      1.23e-02      3.73e-02    9.5e-04
  85000      2.65e+00      1.78e-02      8.60e-02    9.5e-04
  86000      1.34e+00      5.22e-02      4.33e-02    9.5e-04
  87000      2.87e+00      1.08e-01      9.29e-02    9.5e-04
  88000      1.04e+00      2.04e-01      3.31e-02    9.5e-04
  89000      3.48e+00      7.18e-03      1.13e-01    9.5e-04
  90000      8.06e-01      5.94e-02      2.60e-02    9.5e-04
  91000      2.23e+00      3.07e-02      7.24e-02    9.5e-04
  92000      2.04e+00      5.23e-02      6.61e-02    9.5e-04
  93000      8.26e-01      1.41e-01      2.59e-02    9.5e-04
  94000      1.80e+00      4.20e-02      5.84e-02    9.5e-04
  95000      2.17e+00      1.59e-02      7.03e-02    9.5e-04
  96000      2.47e+00      3.01e-02      8.03e-02    9.5e-04
  97000      1.18e+00      8.99e-03      3.82e-02    9.5e-04
  98000      3.07e-01      3.81e-02      9.78e-03    9.5e-04
  99000      1.83e+00      7.59e-02      5.92e-02    9.5e-04
 100000      1.75e+00      7.25e-02      5.81e-02    9.0e-04
 101000      1.89e+00      8.57e-02      6.26e-02    9.0e-04
 102000      1.53e+00      9.47e-02      5.04e-02    9.0e-04
 103000      1.47e+00      2.62e-02      4.88e-02    9.0e-04
 104000      1.03e+00      1.55e-01      3.28e-02    9.0e-04
 105000      1.40e+00      9.79e-02      4.61e-02    9.0e-04
 106000      3.75e-01      7.03e-02      1.21e-02    9.0e-04
 107000      1.46e+00      2.57e-02      4.85e-02    9.0e-04
 108000      1.75e+00      2.83e-02      5.84e-02    9.0e-04
 109000      1.74e-01      2.45e-02      5.67e-03    9.0e-04
 110000      1.58e-01      1.77e-02      5.14e-03    9.0e-04
 111000      1.39e+00      1.65e-02      4.62e-02    9.0e-04
 112000      3.09e+00      1.48e-02      1.03e-01    9.0e-04
 113000      1.19e+00      4.13e-02      3.95e-02    9.0e-04
 114000      3.00e+00      5.69e-02      9.98e-02    9.0e-04
 115000      1.62e+00      3.26e-02      5.38e-02    9.0e-04
 116000      1.63e+00      6.15e-02      5.41e-02    9.0e-04
 117000      1.84e-01      2.18e-02      6.06e-03    9.0e-04
 118000      1.37e+00      3.21e-02      4.56e-02    9.0e-04
 119000      1.35e+00      1.68e-02      4.51e-02    9.0e-04
 120000      1.78e+00      9.15e-02      5.91e-02    9.0e-04
 121000      2.50e+00      6.36e-02      8.33e-02    9.0e-04
 122000      2.50e-01      7.28e-02      7.64e-03    9.0e-04
 123000      1.29e+00      7.92e-02      4.25e-02    9.0e-04
 124000      4.28e-01      7.88e-02      1.33e-02    9.0e-04
 125000      4.61e-01      2.33e-02      1.53e-02    9.0e-04
 126000      2.58e-01      8.82e-02      7.59e-03    9.0e-04
 127000      9.28e-01      4.33e-02      3.08e-02    9.0e-04
 128000      4.71e+00      6.08e-02      1.57e-01    9.0e-04
 129000      1.60e+00      1.63e-01      5.25e-02    9.0e-04
 130000      2.23e+00      1.59e-02      7.44e-02    9.0e-04
 131000      1.06e+00      1.36e-02      3.52e-02    9.0e-04
 132000      1.67e+00      2.72e-02      5.56e-02    9.0e-04
 133000      2.64e+00      2.58e-02      8.79e-02    9.0e-04
 134000      3.19e+00      7.64e-03      1.06e-01    9.0e-04
 135000      1.70e+00      2.32e-02      5.67e-02    9.0e-04
 136000      2.97e+00      6.03e-02      9.89e-02    9.0e-04
 137000      6.84e-02      1.76e-02      2.13e-03    9.0e-04
 138000      2.71e-01      3.93e-02      8.66e-03    9.0e-04
 139000      6.72e-01      5.27e-02      2.21e-02    9.0e-04
 140000      2.60e-01      2.72e-02      8.47e-03    9.0e-04
 141000      2.33e+00      5.05e-02      7.75e-02    9.0e-04
 142000      1.67e+00      4.77e-02      5.56e-02    9.0e-04
 143000      8.58e-01      1.64e-02      2.85e-02    9.0e-04
 144000      2.25e+00      5.68e-02      7.50e-02    9.0e-04
 145000      4.60e+00      2.69e-02      1.53e-01    9.0e-04
 146000      1.18e-01      9.27e-03      3.89e-03    9.0e-04
 147000      2.82e-01      9.08e-03      9.34e-03    9.0e-04
 148000      3.53e-01      7.13e-02      1.08e-02    9.0e-04
 149000      5.37e+00      1.07e-02      1.79e-01    9.0e-04
 150000      1.73e+00      4.57e-02      5.90e-02    8.6e-04
 151000      3.64e+00      1.79e-01      1.24e-01    8.6e-04
 152000      1.70e+00      5.00e-02      5.79e-02    8.6e-04
 153000      1.26e+00      3.77e-02      4.28e-02    8.6e-04
 154000      2.40e+00      5.91e-02      8.20e-02    8.6e-04
 155000      2.41e+00      9.83e-02      8.20e-02    8.6e-04
 156000      2.57e+00      3.37e-02      8.76e-02    8.6e-04
 157000      1.48e+00      6.26e-02      5.02e-02    8.6e-04
 158000      2.41e+00      9.67e-03      8.24e-02    8.6e-04
 159000      1.63e-01      1.14e-02      5.52e-03    8.6e-04
 160000      2.17e+00      3.69e-02      7.39e-02    8.6e-04
 161000      2.04e+00      6.73e-03      6.96e-02    8.6e-04
 162000      2.11e+00      1.00e-03      7.22e-02    8.6e-04
 163000      1.81e-01      4.90e-02      4.88e-03    8.6e-04
 164000      2.94e-01      6.43e-02      8.73e-03    8.6e-04
 165000      2.13e-01      5.15e-02      6.11e-03    8.6e-04
 166000      5.74e-01      5.87e-02      1.93e-02    8.6e-04
 167000      2.02e+00      7.60e-02      6.86e-02    8.6e-04
 168000      2.47e+00      6.41e-02      8.43e-02    8.6e-04
 169000      2.35e+00      4.27e-02      8.02e-02    8.6e-04
 170000      2.24e+00      3.97e-02      7.64e-02    8.6e-04
 171000      1.90e+00      2.32e-01      6.25e-02    8.6e-04
 172000      1.96e+00      2.07e-02      6.70e-02    8.6e-04
 173000      1.82e+00      1.08e-01      6.16e-02    8.6e-04
 174000      2.48e+00      2.25e-02      8.48e-02    8.6e-04
 175000      8.88e-01      7.33e-02      3.01e-02    8.6e-04
 176000      8.78e-01      8.72e-02      2.92e-02    8.6e-04
 177000      1.66e+00      2.29e-02      5.67e-02    8.6e-04
 178000      1.82e+00      3.77e-02      6.22e-02    8.6e-04
 179000      1.58e+00      5.41e-02      5.39e-02    8.6e-04
 180000      1.33e+00      2.38e-01      4.17e-02    8.6e-04
 181000      1.60e+00      3.16e-04      5.46e-02    8.6e-04
 182000      2.62e-01      8.42e-02      7.66e-03    8.6e-04
 183000      2.58e+00      1.26e-03      8.82e-02    8.6e-04
 184000      2.24e+00      6.53e-02      7.63e-02    8.6e-04
 185000      1.49e+00      4.89e-02      5.06e-02    8.6e-04
 186000      2.17e-01      3.50e-02      7.15e-03    8.6e-04
 187000      2.80e+00      4.56e-02      9.57e-02    8.6e-04
 188000      8.51e-02      1.06e-01      7.33e-06    8.6e-04
 189000      2.19e+00      1.37e-02      7.48e-02    8.6e-04
 190000      2.61e+00      2.56e-02      8.90e-02    8.6e-04
 191000      2.66e-01      4.12e-02      8.51e-03    8.6e-04
 192000      1.33e+00      2.83e-02      4.53e-02    8.6e-04
 193000      1.70e+00      4.75e-02      5.78e-02    8.6e-04
 194000      9.50e-01      5.36e-02      3.23e-02    8.6e-04
 195000      2.31e+00      6.38e-02      7.89e-02    8.6e-04
 196000      2.03e+00      2.12e-02      6.91e-02    8.6e-04
 197000      3.35e-01      3.82e-02      1.11e-02    8.6e-04
 198000      3.38e-01      6.97e-02      1.02e-02    8.6e-04
 199000      1.91e+00      5.86e-02      6.50e-02    8.6e-04
 200000      1.35e+00      1.55e-04      4.74e-02    8.1e-04
 201000      2.16e+00      4.86e-02      7.56e-02    8.1e-04
 202000      5.45e-01      4.26e-02      1.87e-02    8.1e-04
 203000      9.86e-01      2.65e-02      3.45e-02    8.1e-04
 204000      1.71e+00      2.74e-02      5.98e-02    8.1e-04
 205000      1.43e+00      3.94e-02      4.98e-02    8.1e-04
 206000      1.23e+00      2.05e-02      4.32e-02    8.1e-04
 207000      1.02e+00      8.62e-02      3.48e-02    8.1e-04
 208000      3.61e-01      2.36e-02      1.25e-02    8.1e-04
 209000      2.73e+00      7.79e-02      9.54e-02    8.1e-04
 210000      2.01e+00      2.83e-02      7.02e-02    8.1e-04
 211000      2.01e+00      1.69e-03      7.03e-02    8.1e-04
 212000      2.19e+00      6.85e-02      7.64e-02    8.1e-04
 213000      1.73e+00      3.60e-02      6.06e-02    8.1e-04
 214000      2.98e+00      1.26e-02      1.04e-01    8.1e-04
 215000      8.02e-01      1.03e-01      2.73e-02    8.1e-04
 216000      2.10e-01      7.43e-03      7.34e-03    8.1e-04
 217000      9.43e-01      9.62e-02      3.19e-02    8.1e-04
 218000      1.63e+00      6.25e-02      5.69e-02    8.1e-04
 219000      1.83e+00      2.61e-02      6.42e-02    8.1e-04
 220000      1.98e+00      2.49e-02      6.93e-02    8.1e-04
 221000      2.18e+00      6.45e-02      7.62e-02    8.1e-04
 222000      1.73e+00      2.12e-02      6.05e-02    8.1e-04
 223000      9.19e-01      1.53e-01      2.92e-02    8.1e-04
 224000      1.31e+00      1.49e-02      4.57e-02    8.1e-04
 225000      1.07e+00      1.02e-01      3.65e-02    8.1e-04
 226000      1.68e+00      2.37e-02      5.88e-02    8.1e-04
 227000      2.78e-01      8.47e-02      6.17e-03    8.1e-04
 228000      1.29e+00      3.17e-02      4.50e-02    8.1e-04
 229000      1.79e+00      2.60e-02      6.26e-02    8.1e-04
 230000      1.82e+00      1.45e-01      6.25e-02    8.1e-04
 231000      1.85e+00      3.19e-02      6.46e-02    8.1e-04
 232000      1.47e+00      2.47e-02      5.16e-02    8.1e-04
 233000      1.30e+00      4.18e-02      4.55e-02    8.1e-04
 234000      1.20e+00      7.56e-02      4.14e-02    8.1e-04
 235000      1.93e+00      3.93e-02      6.77e-02    8.1e-04
 236000      5.85e-01      8.52e-02      1.98e-02    8.1e-04
 237000      1.21e+00      4.51e-02      4.24e-02    8.1e-04
 238000      1.84e-01      7.84e-02      4.16e-03    8.1e-04
 239000      1.71e-01      2.80e-02      5.71e-03    8.1e-04
 240000      2.35e+00      1.02e-02      8.23e-02    8.1e-04
 241000      3.16e-01      7.44e-02      1.00e-02    8.1e-04
 242000      2.03e-01      2.18e-02      6.84e-03    8.1e-04
 243000      6.44e-01      8.54e-02      2.12e-02    8.1e-04
 244000      1.70e+00      6.19e-02      5.95e-02    8.1e-04
 245000      3.74e-01      7.37e-02      1.22e-02    8.1e-04
 246000      3.31e+00      2.84e-02      1.16e-01    8.1e-04
 247000      1.94e+00      4.01e-02      6.78e-02    8.1e-04
 248000      8.60e-01      1.11e-02      3.01e-02    8.1e-04
 249000      2.27e+00      2.11e-01      7.74e-02    8.1e-04
 250000      2.07e+00      4.12e-02      7.43e-02    7.7e-04
 251000      2.49e+00      6.12e-02      8.92e-02    7.7e-04
 252000      3.36e+00      3.15e-02      1.21e-01    7.7e-04
 253000      3.34e-01      7.88e-02      9.04e-03    7.7e-04
 254000      2.35e-01      6.39e-02      5.55e-03    7.7e-04
 255000      2.09e-01      5.95e-03      7.51e-03    7.7e-04
 256000      1.16e+00      1.85e-01      3.74e-02    7.7e-04
 257000      6.66e-01      1.02e-02      2.39e-02    7.7e-04
 258000      1.94e+00      7.21e-03      6.99e-02    7.7e-04
 259000      3.25e-01      4.69e-03      1.17e-02    7.7e-04
 260000      1.45e+00      1.04e-01      5.12e-02    7.7e-04
 261000      1.97e+00      7.71e-02      7.02e-02    7.7e-04
 262000      1.25e+00      1.21e-02      4.50e-02    7.7e-04
 263000      6.71e-01      1.09e-01      2.15e-02    7.7e-04
 264000      1.99e+00      1.10e-02      7.15e-02    7.7e-04
 265000      1.02e+00      2.92e-02      3.68e-02    7.7e-04
 266000      6.45e-01      1.55e-02      2.31e-02    7.7e-04
 267000      1.40e+00      3.59e-02      5.00e-02    7.7e-04
 268000      2.05e+00      3.37e-02      7.36e-02    7.7e-04
 269000      9.49e-01      2.18e-02      3.40e-02    7.7e-04
 270000      1.50e+00      6.91e-02      5.36e-02    7.7e-04
 271000      9.28e-01      2.04e-02      3.33e-02    7.7e-04
 272000      9.35e-02      1.24e-02      3.12e-03    7.7e-04
 273000      1.39e+00      1.46e-02      5.01e-02    7.7e-04
 274000      3.60e-01      8.01e-02      1.16e-02    7.7e-04
 275000      1.33e+00      3.04e-02      4.77e-02    7.7e-04
 276000      3.24e-01      2.98e-02      1.13e-02    7.7e-04
 277000      1.77e+00      4.59e-02      6.33e-02    7.7e-04
 278000      1.08e+00      4.34e-03      3.87e-02    7.7e-04
 279000      5.02e-01      2.58e-02      1.79e-02    7.7e-04
 280000      1.81e+00      2.77e-02      6.51e-02    7.7e-04
 281000      5.71e-01      1.05e-04      2.05e-02    7.7e-04
 282000      1.33e+00      1.99e-02      4.76e-02    7.7e-04
 283000      7.83e-02      1.39e-02      2.64e-03    7.7e-04
 284000      9.46e-01      3.57e-02      3.39e-02    7.7e-04
 285000      1.70e+00      1.92e-03      6.12e-02    7.7e-04
 286000      2.01e+00      1.30e-02      7.23e-02    7.7e-04
 287000      8.17e-02      5.32e-03      2.91e-03    7.7e-04
 288000      1.75e+00      6.50e-02      6.27e-02    7.7e-04
 289000      1.28e+00      1.61e-01      4.31e-02    7.7e-04
 290000      1.45e+00      2.59e-02      5.21e-02    7.7e-04
 291000      1.53e+00      3.90e-02      5.50e-02    7.7e-04
 292000      2.64e-01      1.12e-02      9.42e-03    7.7e-04
 293000      1.18e+00      1.19e-01      4.15e-02    7.7e-04
 294000      1.75e+00      4.03e-02      6.28e-02    7.7e-04
 295000      1.09e+00      1.22e-02      3.91e-02    7.7e-04
 296000      2.83e+00      2.30e-01      1.00e-01    7.7e-04
 297000      3.71e-01      1.89e-02      1.32e-02    7.7e-04
